계좌,종목명,보유수량,매입가(USD),어제종가(USD),평가금액(USD),수익(USD),수익률(%)
4715,브로드컴,1,400.31,372.45001220703125,372.45001220703125,-27.859987792968752,-6.959603255719006
4715,블룸 에너지,1,134.3,275.010009765625,275.010009765625,140.710009765625,104.77290377187265
4715,아이온큐,90,36.0636,53.880001068115234,4849.200096130371,1603.476096130371,49.40272481980511
4715,프리미엄 고배당 JP모건 ETF,14,54.9878,56.439998626708984,790.1599807739258,20.33078077392578,2.6409469495215014
4715,엔비디아,59,214.6191,194.97000122070312,11503.230072021484,-1159.296827978516,-9.155335559275422
4715,미국 배당주 슈왑 ETF,30,24.0333,31.93000030517578,957.9000091552734,236.9010091552734,32.85732839508424
4715,미국 반도체 3배 디렉시온 ETF,81,185.7585,236.52000427246094,19158.120346069336,4111.681846069336,27.32661184950403
4715,스페이스X,95,152.3508,164.19000244140625,15598.050231933594,1124.7242319335944,7.7710142916258125
5477,메타 플랫폼스(페이스북),5,667.32,562.5999755859375,2812.9998779296875,-523.6001220703128,-15.692624889717457
5477,마이크론 테크놀로지,13,1011.0,1145.280029296875,14888.640380859375,1745.640380859375,13.281902007603858
5477,미국 반도체 인버스 3배 디렉시온 ETF,18,5.63,3.7200000286102295,66.96000051498413,-34.379999485015865,-33.92539913658562
9999,알파벳 A,59,335.3411,353.6499938964844,20865.349639892578,1080.2247398925792,5.459782262443939
9999,마이크론 테크놀로지,10,1010.0,1145.280029296875,11452.80029296875,1352.80029296875,13.394062306621288
9999,나스닥 100 인베스코 ETF,3,253.15,298.04998779296875,894.1499633789062,134.69996337890623,17.736515027836756
9999,스페이스X,13,151.51,164.19000244140625,2134.4700317382812,164.84003173828137,8.36908616025758
9999,QQQ 레버리지 3배 프로셰어즈 ETF,20,21.845,77.19000244140625,1543.800048828125,1106.900048828125,253.3531812378405
6589,AST 스페이스모바일,4,120.1725,86.7699966430664,347.0799865722656,-133.61001342773437,-27.795463485351135
6589,알파벳 A,5,310.18,353.6499938964844,1768.2499694824219,217.34996948242184,14.014441258780181
6589,미국 반도체 인버스 3배 디렉시온 ETF,64,5.63,3.7200000286102295,238.0800018310547,-122.2399981689453,-33.92539913658562
4597,스페이스X,5,151.15,164.19000244140625,820.9500122070312,65.20001220703122,8.627193146811937
