계좌,종목명,보유수량,매입가(USD),어제종가(USD),평가금액(USD),수익(USD),수익률(%)
4715,브로드컴,1,400.31,382.07000732421875,382.07000732421875,-18.239992675781252,-4.556466907092316
4715,블룸 에너지,1,134.3,326.19000244140625,326.19000244140625,191.89000244140624,142.88161015741343
4715,아이온큐,90,36.0636,53.599998474121094,4823.999862670898,1578.2758626708983,48.62631150001967
4715,프리미엄 고배당 JP모건 ETF,14,54.9878,56.060001373291016,784.8400192260742,15.010819226074219,1.9498895633049795
4715,엔비디아,59,214.6191,199.0,11741.0,-921.5269000000002,-7.277590857477271
4715,미국 배당주 슈왑 ETF,30,24.0333,31.719999313354492,951.5999794006348,230.60097940063474,31.983536648543858
4715,미국 반도체 3배 디렉시온 ETF,81,185.7585,229.57000732421875,18595.17059326172,3548.732093261719,23.58519654509417
4715,스페이스X,95,152.3508,154.5399932861328,14681.299362182617,207.9733621826179,1.4369424290078032
5477,메타 플랫폼스(페이스북),5,667.32,557.6699829101562,2788.3499145507812,-548.250085449219,-16.43139979168072
5477,마이크론 테크놀로지,13,1011.0,1048.510009765625,13630.630126953125,487.630126953125,3.7101888986770524
5477,미국 반도체 인버스 3배 디렉시온 ETF,18,5.63,4.079999923706055,73.43999862670898,-27.900001373291012,-27.531084836482155
9999,알파벳 A,59,335.3411,345.2900085449219,20372.11050415039,586.9856041503916,2.9668026212480045
9999,마이크론 테크놀로지,10,1010.0,1048.510009765625,10485.10009765625,385.10009765625,3.8128722540222775
9999,나스닥 100 인베스코 ETF,3,253.15,292.6300048828125,877.8900146484375,118.44001464843748,15.595498669884453
9999,스페이스X,13,151.51,154.5399932861328,2009.0199127197266,39.38991271972668,1.9998635642088456
9999,QQQ 레버리지 3배 프로셰어즈 ETF,20,21.845,73.30000305175781,1466.0000610351562,1029.1000610351562,235.5459054784061
6589,AST 스페이스모바일,4,120.1725,68.01000213623047,272.0400085449219,-208.64999145507812,-43.406351589398184
6589,알파벳 A,5,310.18,345.2900085449219,1726.4500427246094,175.55004272460934,11.319236747992091
6589,미국 반도체 인버스 3배 디렉시온 ETF,64,5.63,4.079999923706055,261.1199951171875,-99.2000048828125,-27.531084836482155
4597,스페이스X,5,151.15,154.5399932861328,772.6999664306641,16.949966430664034,2.2428007185794288
